Player1,Player2,P1_Wins,P2_Wins
K2O,J6O,2.0,0.0
Q7S,QTO,0.0,2.0
T8O,A5O,0.0,2.0
J9O,J4O,2.0,0.0
AKO,Q2O,2.0,0.0
A6O,Q6O,2.0,0.0
A9O,T2S,0.0,2.0
42O,K2S,0.0,2.0
43O,64O,0.0,2.0
52O,T9O,2.0,0.0
53O,J9O,0.0,2.0
K7O,44O,2.0,0.0
84O,KQO,2.0,0.0
73O,88O,2.0,0.0
95S,A6S,0.0,2.0
88O,95O,2.0,0.0
K3O,A2O,0.0,2.0
87O,Q8S,0.0,2.0
82S,T9O,0.0,2.0
J2O,AKO,0.0,2.0
KQO,54O,2.0,0.0
32O,J2O,2.0,0.0
K4O,J4O,2.0,0.0
K9O,Q9S,2.0,0.0
43O,42O,2.0,0.0
99O,96O,2.0,0.0
32O,K5O,0.0,2.0
65O,72O,2.0,0.0
J5O,J4O,2.0,0.0
83O,85S,0.0,2.0
83O,Q8O,0.0,2.0
54O,33O,0.0,2.0
J5S,T8O,2.0,0.0
72O,93O,0.0,2.0
ATS,92S,2.0,0.0
Q9O,43O,0.0,2.0
53O,KTS,0.0,2.0
J3O,85O,2.0,0.0
K2O,AKO,0.0,2.0
J3S,63O,2.0,0.0
72S,Q8O,0.0,2.0
T6O,Q3S,0.0,2.0
63O,43O,2.0,0.0
K8S,53O,2.0,0.0
75O,65O,2.0,0.0
AQO,92O,2.0,0.0
63O,T7O,0.0,2.0
54O,Q6S,0.0,2.0
QTO,K4O,2.0,0.0
Q6O,JTO,0.0,2.0
K6O,53O,0.0,2.0
Q6O,J4O,2.0,0.0
T2O,Q6O,0.0,2.0
97O,KJS,0.0,2.0
TTO,ATO,2.0,0.0
98O,J2O,0.0,2.0
A7O,T5O,2.0,0.0
K6O,QJO,0.0,2.0
A7O,94O,2.0,0.0
82S,K5O,2.0,0.0
ATO,66O,2.0,0.0
Q3O,86S,2.0,0.0
82O,T7O,2.0,0.0
K2O,64O,2.0,0.0
22O,64S,2.0,0.0
Q9O,86O,2.0,0.0
T7O,A8O,0.0,2.0
J7O,T3O,0.0,2.0
99O,52O,2.0,0.0
ATS,83O,2.0,0.0
QTO,J8O,2.0,0.0
KKO,T2O,2.0,0.0
T8O,AKS,0.0,2.0
J5O,62O,2.0,0.0
J5S,J3O,2.0,0.0
AJO,99O,0.0,2.0
94O,J2O,0.0,2.0
J6O,J2S,2.0,0.0
85O,A6O,0.0,2.0
J4S,97S,0.0,2.0
85O,T7S,0.0,2.0
94O,K4O,2.0,0.0
84S,73O,2.0,0.0
AKS,QJO,2.0,0.0
T5O,53O,0.0,2.0
77O,J8S,0.0,2.0
73O,J8O,0.0,2.0
T2O,75O,2.0,0.0
Q4S,T7S,2.0,0.0
87S,A9S,0.0,2.0
KJO,73O,2.0,0.0
J5O,AQS,2.0,0.0
A3O,Q9S,2.0,0.0
A6O,63O,2.0,0.0
A8O,Q2O,2.0,0.0
88O,53O,2.0,0.0
KQO,75S,0.0,2.0
42O,A5S,0.0,2.0
53S,K4O,0.0,2.0
65S,94O,2.0,0.0
64O,A5O,2.0,0.0
64O,QTS,2.0,0.0
A2O,Q2O,2.0,0.0
J8O,64S,2.0,0.0
95O,32O,2.0,0.0
Q8O,T7O,2.0,0.0
95S,J4O,0.0,2.0
88O,99O,0.0,2.0
A3O,92O,0.0,2.0
K4S,K5S,0.0,2.0
J2S,42O,2.0,0.0
95O,A8S,0.0,2.0
85O,87S,0.0,2.0
A9O,J5O,0.0,2.0
J7O,A5O,2.0,0.0
J8O,T7O,2.0,0.0
J5S,K8O,0.0,2.0
A2S,84O,2.0,0.0
KJO,K4O,2.0,0.0
T7O,K5S,0.0,2.0
J4O,Q9O,0.0,2.0
T3O,J8S,0.0,2.0
Q5S,A7O,0.0,2.0
AQS,T9O,2.0,0.0
K9S,64S,2.0,0.0
86O,KTS,0.0,2.0
55O,T7O,2.0,0.0
Q8O,K7O,0.0,2.0
96S,KKO,2.0,0.0
99O,87O,2.0,0.0
Q3O,J2O,0.0,2.0
63O,A6O,0.0,2.0
K2O,JTS,2.0,0.0
AQO,AJO,2.0,0.0
J9S,94O,2.0,0.0
QTO,53O,2.0,0.0
Q4S,32O,2.0,0.0
A3O,82O,2.0,0.0
K8O,42S,2.0,0.0
Q3O,J2S,2.0,0.0
92O,K6O,0.0,2.0
T7O,T4S,2.0,0.0
87O,52O,2.0,0.0
95O,QQO,0.0,2.0
J3S,52O,2.0,0.0
ATO,K6O,2.0,0.0
AKO,87S,2.0,0.0
K6O,33O,2.0,0.0
92O,J7S,0.0,2.0
A9O,KKO,0.0,2.0
A3O,A3O,1.0,1.0
A8O,J5O,2.0,0.0
A2O,T9O,2.0,0.0
63O,52O,2.0,0.0
KJS,53O,2.0,0.0
AKO,T5S,2.0,0.0
84O,A4O,0.0,2.0
T8S,75O,0.0,2.0
JTS,QJO,0.0,2.0
AKO,T8O,0.0,2.0
Q4O,K8O,0.0,2.0
AJO,ATO,0.0,2.0
T5S,93O,0.0,2.0
85S,A2O,0.0,2.0
98O,73S,2.0,0.0
ATO,85S,2.0,0.0
63O,Q5O,0.0,2.0
A7O,J4O,2.0,0.0
K3O,AQO,0.0,2.0
T9O,A5O,2.0,0.0
T2S,K7O,0.0,2.0
T5O,TTO,0.0,2.0
Q9O,54O,2.0,0.0
J6S,63O,2.0,0.0
74O,A3O,0.0,2.0
A4O,AJO,0.0,2.0
Q8O,J3O,0.0,2.0
K9O,96O,2.0,0.0
JTO,A4O,2.0,0.0
J5O,KTS,2.0,0.0
92O,87O,2.0,0.0
J8S,J4O,2.0,0.0
66O,87O,2.0,0.0
Q5O,43O,2.0,0.0
T3S,K7O,0.0,2.0
86O,Q5O,0.0,2.0
T8O,J6O,0.0,2.0
74O,A2S,2.0,0.0
Q9O,T3S,0.0,2.0
T9O,63O,2.0,0.0
A7O,72O,0.0,2.0
86O,Q9O,0.0,2.0
85S,53O,2.0,0.0
Q8O,53O,2.0,0.0
98O,53O,2.0,0.0
T2O,J4O,0.0,2.0
J8O,43S,0.0,2.0
A7O,KTO,0.0,2.0
65S,A3O,0.0,2.0
K7O,K2O,2.0,0.0
J8O,A9O,0.0,2.0
K7O,75O,2.0,0.0
A7O,92O,0.0,2.0
44O,A5O,2.0,0.0
A9O,K9O,2.0,0.0
32O,J7O,0.0,2.0
A6S,92O,0.0,2.0
85S,TTO,2.0,0.0
J6S,93O,2.0,0.0
64O,54O,2.0,0.0
A7O,K3O,0.0,2.0
J7S,J4O,2.0,0.0
A2S,75O,2.0,0.0
64O,KKO,0.0,2.0
42O,QQO,2.0,0.0
K8S,Q7S,0.0,2.0
A5O,A6O,0.0,2.0
JJO,53S,2.0,0.0
54O,Q3O,0.0,2.0
43O,93O,0.0,2.0
AKO,43O,2.0,0.0
K6O,52O,0.0,2.0
A5O,76O,0.0,2.0
72O,93O,2.0,0.0
98O,Q6O,0.0,2.0
82O,J7O,0.0,2.0
K6O,JTS,0.0,2.0
K7O,K7O,1.0,1.0
92O,A8O,0.0,2.0
Q3S,A6O,0.0,2.0
ATO,AKS,0.0,2.0
J5O,Q4O,0.0,2.0
44O,AQO,0.0,2.0
J5S,92O,2.0,0.0
72O,44O,2.0,0.0
84O,Q9O,0.0,2.0
94O,92O,0.0,2.0
K3O,K2O,0.0,2.0
A9O,J3O,2.0,0.0
95O,J6S,0.0,2.0
62O,T4O,2.0,0.0
QTO,K8O,2.0,0.0
Q4S,A9O,2.0,0.0
A4O,T6O,0.0,2.0
63O,Q2O,2.0,0.0
K2O,J8O,2.0,0.0
A9S,ATO,0.0,2.0
T7S,T5O,2.0,0.0
54O,KJO,2.0,0.0
A4O,Q2O,2.0,0.0
AQO,K2O,2.0,0.0
54O,32O,2.0,0.0
Q2O,87O,0.0,2.0
A7S,QJO,2.0,0.0
Q5S,QJS,2.0,0.0
43S,83O,0.0,2.0
32O,73O,0.0,2.0
75O,AJS,0.0,2.0
53O,94O,0.0,2.0
62S,K7S,0.0,2.0
72O,T5O,2.0,0.0
A2O,97O,0.0,2.0
J2O,53O,0.0,2.0
T4O,33O,0.0,2.0
T6O,K8S,0.0,2.0
75O,65O,2.0,0.0
Q7O,KTO,2.0,0.0
T9S,J3O,0.0,2.0
43O,JTO,0.0,2.0
JTO,52O,0.0,2.0
54O,54O,1.0,1.0
J6O,K4O,0.0,2.0
J4O,94O,2.0,0.0
52O,K6S,2.0,0.0
97O,J2S,0.0,2.0
T9S,AKO,2.0,0.0
A6O,Q2S,0.0,2.0
73O,K4S,2.0,0.0
85O,AJO,2.0,0.0
K7O,A8O,2.0,0.0
53O,Q7S,2.0,0.0
A8S,T6O,2.0,0.0
KTS,A2O,0.0,2.0
Q3O,97S,0.0,2.0
33O,KTO,0.0,2.0
K6S,A9O,0.0,2.0
K8S,73O,2.0,0.0
AJO,K2O,2.0,0.0
AKO,93O,2.0,0.0
Q8O,83O,2.0,0.0
32O,T6S,2.0,0.0
A2S,A3O,2.0,0.0
